pais,0
US,27177
France,11174
Italy,10005
Spain,3409
Portugal,2963
Chile,2258
Argentina,1907
Austria,1635
Australia,1177
Germany,1051
South Africa,737
New Zealand,733
Israel,259
Greece,242
Canada,108
Bulgaria,68
Romania,67
Hungary,61
Uruguay,61
Croatia,44
Turkey,43
Slovenia,39
Georgia,37
England,36
Brazil,31
Mexico,31
Moldova,30
Lebanon,20
Morocco,11
Peru,8
Serbia,7
Czech Republic,6
Cyprus,6
Macedonia,6
Ukraine,5
Luxembourg,4
India,4
Switzerland,4
Bosnia and Herzegovina,1
Armenia,1
Slovakia,1
